name,expert1,expert2,expert3,model_p0,model_p1,model_p2,model_p3,Y_H,consensus
train/539668_1-IMG013x030-2.JPG,2,2,2,0.04732012376189232,0.0010193641064688566,0.9506907463073729,0.0009698228095658123,"[2, 2, 2]",2
train/535990_2-IMG010x011-0.JPG,0,0,0,0.7871479988098145,0.21191418170928955,2.1154262867639773e-05,0.0009167387033812703,"[0, 0, 0]",0
train/538377-IMG013x006-0.JPG,0,0,0,0.9928680658340454,0.006686463486403228,4.8449905989400585e-06,0.00044061630615033215,"[0, 0, 0]",0
train/535943_1-IMG003x012-0.JPG,0,0,0,0.9672502279281616,0.0035281763412058353,0.02208465151488781,0.0071370224468410015,"[0, 0, 0]",0
train/540293_2-IMG021x014-2.JPG,2,2,2,0.002436154056340456,1.6561436495976526e-05,0.9971912503242492,0.0003559395845513791,"[2, 2, 2]",2
train/540293_1-IMG016x024-2.JPG,2,2,2,9.370069165015593e-10,1.860413618715029e-07,0.9999995231628418,2.581753903996287e-07,"[2, 2, 2]",2
train/543645_2-IMG021x008-3.JPG,3,3,3,1.1338119776382882e-07,0.006094485986977816,4.006245217169635e-05,0.9938653111457824,"[3, 3, 3]",3
train/535940-IMG013x027-2.JPG,2,2,2,4.892910077103352e-09,1.4800335520703811e-05,0.9999850988388062,5.354537080393129e-08,"[2, 2, 2]",2
train/539668_1-IMG010x026-2.JPG,2,2,2,1.6218761800246284e-07,1.2595826319738992e-06,0.9999979734420776,6.14041880453442e-07,"[2, 2, 2]",2
train/536709_1-IMG011x016-0.JPG,1,0,0,0.9999958276748656,1.989775910260505e-06,2.1375155606021687e-13,2.2386911950889044e-06,"[1, 0, 0]",0
train/535940-IMG025x026-2.JPG,2,2,2,1.3966547363075676e-10,2.7949727154918946e-07,0.9999996423721312,2.311510982622167e-08,"[2, 2, 2]",2
train/536719-IMG005x011-0.JPG,0,0,0,0.9919232726097108,0.00805867463350296,2.4183477442818457e-10,1.8010712665272877e-05,"[0, 0, 0]",0
train/542441-IMG022x019-2.JPG,2,2,2,1.621911827065503e-09,5.010402315264173e-09,1.0,4.5495994527300354e-08,"[2, 2, 2]",2
train/537690_1-IMG012x006-0.JPG,0,0,0,0.9679901003837584,0.002745479112491012,3.9157464470918063e-07,0.029264070093631744,"[0, 0, 0]",0
train/538880-3-IMG015x016-3.JPG,3,1,3,3.5313561852490244e-07,0.035891447216272354,1.5084766573636443e-06,0.9641067385673524,"[3, 1, 3]",3
train/538880-3-IMG029x052-3.JPG,3,0,3,5.098445221562997e-09,0.003365149488672614,1.1206508133909663e-05,0.9966236352920532,"[3, 0, 3]",3
train/543358_1-IMG008x014-2.JPG,2,2,2,1.42708509939804e-11,4.5388308222982225e-08,0.9998847246170044,0.00011523966531967744,"[2, 2, 2]",2
train/536709_1-IMG012x013-0.JPG,1,0,0,0.999903440475464,9.522763139102608e-05,2.5659661027910285e-13,1.3796507118968293e-06,"[1, 0, 0]",0
train/535990_2-IMG015x026-3.JPG,3,3,3,8.243611127056738e-09,2.7863314244314093e-05,3.550216570147313e-05,0.9999365806579591,"[3, 3, 3]",3
train/536707_2-IMG007x004-0.JPG,0,0,0,0.9892974495887756,0.010337699204683304,8.992204675450921e-05,0.00027497182600200176,"[0, 0, 0]",0
train/538880-3-IMG024x030-3.JPG,3,1,3,1.5089551830271833e-10,0.0004322514578234404,6.456258688558592e-06,0.9995612502098083,"[3, 1, 3]",3
train/538377-IMG014x027-2.JPG,2,2,2,9.134558354162435e-07,8.449196684523487e-07,0.999997854232788,3.6371858413986047e-07,"[2, 2, 2]",2
train/540293_1-IMG016x013-2.JPG,2,2,2,7.87650056288669e-10,1.6301069081237076e-06,0.9999983310699464,4.615089110870941e-08,"[2, 2, 2]",2
train/539668_1-IMG006x008-2.JPG,2,2,2,0.0004322908935137093,0.6169978976249695,0.3759498000144959,0.006620026193559171,"[2, 2, 2]",2
train/543645_1-IMG013x026-2.JPG,2,2,2,2.3683431518012332e-12,9.972026191462644e-07,0.9999988079071044,2.1550495432620664e-07,"[2, 2, 2]",2
train/538897_2-IMG010x007-0.JPG,0,0,0,0.999585211277008,0.0002102070138789713,2.358567161020453e-11,0.00020455088815651837,"[0, 0, 0]",0
train/537700-IMG007x008-1.JPG,1,1,0,0.8531917929649353,0.01038032304495573,0.1350647360086441,0.0013631415786221626,"[1, 1, 0]",1
train/536709_1-IMG019x008-0.JPG,1,0,0,0.9846753478050232,0.015221134759485722,8.983933184936177e-06,9.44785278989002e-05,"[1, 0, 0]",0
train/538880-3-IMG025x038-3.JPG,3,1,3,0.0102460952475667,0.0385989286005497,1.256601876775676e-06,0.9511536359786988,"[3, 1, 3]",3
